ImageID,OT_value,OT_similarity,OT_row_cost
BraTS-GLI-00260-000.npz,0.8100171089172363,0.8100171089172363,0.005246204324066639
BraTS-GLI-00261-000.npz,0.8850918412208557,0.8850918412208557,0.004584209993481636
BraTS-GLI-00262-000.npz,0.8745222091674805,0.8745222091674805,0.004677410703152418
BraTS-GLI-00263-000.npz,0.3597450256347656,0.3597450256347656,0.009216617792844772
BraTS-GLI-00266-000.npz,0.8982595801353455,0.8982595801353455,0.0044680992141366005
BraTS-GLI-00267-000.npz,0.8004306554794312,0.8004306554794312,0.005330735817551613
BraTS-GLI-00269-000.npz,0.9500922560691833,0.9500922560691833,0.004011048935353756
BraTS-GLI-00273-000.npz,0.41319406032562256,0.41319406032562256,0.008745314553380013
BraTS-GLI-00274-000.npz,0.7799052000045776,0.7799052000045776,0.0055117253214120865
BraTS-GLI-00275-000.npz,0.8826130628585815,0.8826130628585815,0.004606067202985287
BraTS-GLI-00280-000.npz,0.35196781158447266,0.35196781158447266,0.009285195730626583
BraTS-GLI-00281-000.npz,0.7917994856834412,0.7917994856834412,0.005406843964010477
BraTS-GLI-00283-000.npz,0.6338211894035339,0.6338211894035339,0.006799866445362568
BraTS-GLI-00284-000.npz,0.9183855056762695,0.9183855056762695,0.004290632903575897
BraTS-GLI-00285-000.npz,0.7302996516227722,0.7302996516227722,0.005949137732386589
BraTS-GLI-00286-000.npz,0.9101086854934692,0.9101086854934692,0.004363615997135639
BraTS-GLI-00289-000.npz,0.6088977456092834,0.6088977456092834,0.007019636686891317
BraTS-GLI-00290-000.npz,0.7046481966972351,0.7046481966972351,0.006175327580422163
BraTS-GLI-00291-000.npz,0.9460369348526001,0.9460369348526001,0.004046807996928692
BraTS-GLI-00292-000.npz,0.9161302447319031,0.9161302447319031,0.0043105194345116615
BraTS-GLI-00293-000.npz,0.8584365844726562,0.8584365844726562,0.0048192511312663555
BraTS-GLI-00294-000.npz,0.9026587009429932,0.9026587009429932,0.004429308697581291
BraTS-GLI-00296-000.npz,0.6147651672363281,0.6147651672363281,0.006967898458242416
BraTS-GLI-00297-000.npz,0.7249575853347778,0.7249575853347778,0.005996243096888065
